"cole_depto_ubicacion","fami_estratovivienda","fami_personashogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","fami_tienelavadora","punt_global"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","410"
"BOLIVAR","Estrato 2","3 a 4","No","No","Si","Si","239"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","389"
"CAUCA","Estrato 2","5 a 6","No","No","Si","No","225"
"NORTE SANTANDER","Estrato 2","5 a 6","No","No","Si","Si","208"
"BOGOTÁ","Estrato 2","3 a 4","No","No","Si","No","244"
"LA GUAJIRA","Estrato 3","5 a 6","Si","Si","Si","Si","367"
"BOLIVAR","Estrato 4","3 a 4","Si","Si","Si","Si","415"
"CAUCA","Estrato 1","7 a 8","Si","Si","Si","Si","279"
"CAUCA","Estrato 3","3 a 4","No","Si","Si","Si","240"
"ATLANTICO","Estrato 4","3 a 4","Si","Si","Si","Si","346"
"BOLIVAR","Estrato 3","3 a 4","No","Si","Si","Si","273"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","307"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","363"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","322"
"ATLANTICO","Estrato 6","5 a 6","Si","Si","Si","Si","347"
"SANTANDER","Estrato 4","3 a 4","Si","No","Si","Si","194"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","273"
"MAGDALENA","Estrato 3","5 a 6","Si","Si","Si","Si","206"
"RISARALDA","Estrato 5","1 a 2","Si","Si","Si","Si","305"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","265"
"VALLE","Estrato 3","1 a 2","No","No","Si","Si","252"
"ATLANTICO","Estrato 6","5 a 6","Si","Si","Si","Si","396"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","277"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","385"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","301"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","273"
"CALDAS","Estrato 6","3 a 4","Si","Si","Si","Si","383"
"BOGOTÁ","Estrato 3","3 a 4","No","Si","Si","Si","236"
"VALLE","Estrato 3","1 a 2","Si","Si","Si","Si","316"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","278"
"ANTIOQUIA","Estrato 6","5 a 6","Si","Si","Si","Si","327"
"NARIÑO","Estrato 1","3 a 4","No","No","No","No","255"
"BOLIVAR","Estrato 5","3 a 4","Si","Si","Si","Si","371"
"ATLANTICO","Estrato 4","3 a 4","Si","Si","Si","Si","296"
"VALLE","Estrato 3","1 a 2","No","Si","Si","No","342"
"ANTIOQUIA","Estrato 5","5 a 6","Si","Si","Si","Si","375"
"CESAR","Estrato 2","3 a 4","No","No","Si","Si","266"
"ANTIOQUIA","Estrato 4","5 a 6","No","No","Si","No","180"
"CESAR","Estrato 1","5 a 6","Si","No","Si","Si","265"
"BOGOTÁ","Estrato 6","5 a 6","Si","Si","Si","Si","254"
"CUNDINAMARCA","Estrato 5","5 a 6","Si","Si","Si","Si","352"
"ANTIOQUIA","Estrato 2","1 a 2","No","No","No","Si","234"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","355"
"BOGOTÁ","Estrato 3","1 a 2","No","Si","Si","Si","263"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","360"
"CAUCA","Estrato 2","3 a 4","Si","Si","Si","Si","288"
"ATLANTICO","Estrato 4","5 a 6","Si","Si","Si","Si","378"
"SANTANDER","Estrato 3","5 a 6","Si","Si","Si","Si","201"
"BOGOTÁ","Estrato 3","3 a 4","Si","Si","Si","Si","248"
"VALLE","Estrato 3","1 a 2","No","Si","Si","Si","375"
"VALLE","Estrato 4","5 a 6","No","Si","Si","Si","393"
"VALLE","Estrato 2","5 a 6","Si","Si","Si","Si","300"
"BOGOTÁ","Estrato 2","3 a 4","Si","Si","Si","Si","192"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","233"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","311"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","331"
"TOLIMA","Estrato 4","1 a 2","Si","Si","Si","Si","162"
"VALLE","Estrato 1","5 a 6","No","No","No","No","212"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","311"
"CUNDINAMARCA","Estrato 3","5 a 6","Si","Si","Si","Si","333"
"ATLANTICO","Estrato 3","3 a 4","Si","Si","Si","Si","333"
"NARIÑO","Estrato 3","3 a 4","Si","Si","Si","Si","256"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","298"
"CUNDINAMARCA","Estrato 4","5 a 6","Si","Si","Si","Si","345"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","308"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","227"
