cole_depto_ubicacion,fami_estratovivienda,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,punt_global
VALLE,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
BOGOTÁ,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
BOLIVAR,Estrato 2,3 a 4,No,No,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
CAUCA,Estrato 2,5 a 6,No,No,Si,No,Rango de 48 a 238.0
NORTE SANTANDER,Estrato 2,5 a 6,No,No,Si,Si,Rango de 48 a 238.0
BOGOTÁ,Estrato 2,3 a 4,No,No,Si,No,Rango de 238.0 a 293.0
LA GUAJIRA,Estrato 3,5 a 6,Si,Si,Si,Si,Rango de 337.0 a 476
BOLIVAR,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
CAUCA,Estrato 1,7 a 8,Si,Si,Si,Si,Rango de 238.0 a 293.0
CAUCA,Estrato 3,3 a 4,No,Si,Si,Si,Rango de 238.0 a 293.0
ATLANTICO,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
BOLIVAR,Estrato 3,3 a 4,No,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
BOGOTÁ,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 3,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
ATLANTICO,Estrato 6,5 a 6,Si,Si,Si,Si,Rango de 337.0 a 476
SANTANDER,Estrato 4,3 a 4,Si,No,Si,Si,Rango de 48 a 238.0
VALLE,Estrato 3,5 a 6,Si,Si,Si,Si,Rango de 238.0 a 293.0
MAGDALENA,Estrato 3,5 a 6,Si,Si,Si,Si,Rango de 48 a 238.0
RISARALDA,Estrato 5,1 a 2,Si,Si,Si,Si,Rango de 293.0 a 337.0
VALLE,Estrato 2,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 3,1 a 2,No,No,Si,Si,Rango de 238.0 a 293.0
ATLANTICO,Estrato 6,5 a 6,Si,Si,Si,Si,Rango de 337.0 a 476
BOGOTÁ,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 3,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
BOGOTÁ,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
VALLE,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
CALDAS,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
